Result 7 - screen2-upper.png

                                                                                                                                                      Bounding Box                      Text  Confidence                   Bounding Box Top Left               Bounding Box Bottom Right
0                                                                                                                       [[22, 17], [130, 17], [130, 69], [22, 69]]                      4.15    0.993196                                [22, 17]                               [130, 69]
1                                                                                                                       [[209, 9], [280, 9], [280, 78], [209, 78]]                         0    0.997018                                [209, 9]                               [280, 78]
2                                                                                                                 [[555, 175], [891, 175], [891, 313], [555, 313]]                   Catalog    0.999789                              [555, 175]                              [891, 313]
3                                                                                                                 [[110, 459], [179, 459], [179, 511], [110, 511]]                       AlI    0.335201                              [110, 459]                              [179, 511]
4                                                                                                                 [[310, 456], [440, 456], [440, 513], [310, 513]]                      Male    0.999998                              [310, 456]                              [440, 513]
5                                                                                                                 [[566, 456], [759, 456], [759, 513], [566, 513]]                    Female    0.402500                              [566, 456]                              [759, 513]
6                                                                                                             [[1112, 456], [1205, 456], [1205, 513], [1112, 513]]                      Girl    0.997618                             [1112, 456]                             [1205, 513]
7                                                                                                                   [[88, 741], [421, 741], [421, 830], [88, 830]]                       NEW    0.999139                               [88, 741]                              [421, 830]
8                                                                                                               [[451, 741], [1330, 741], [1330, 830], [451, 830]]                COLLECTION    0.983637                              [451, 741]                             [1330, 830]
9                                                                                                             [[161, 2145], [504, 2145], [504, 2237], [161, 2237]]                  T-Shirts    0.841254                             [161, 2145]                             [504, 2237]
10                                                                                                            [[161, 2254], [732, 2254], [732, 2326], [161, 2326]]  T-Shirts for every taste    0.729266                             [161, 2254]                             [732, 2326]
11                                                                                                            [[163, 2649], [648, 2649], [648, 2741], [163, 2741]]               Sweatshirts    0.999956                             [163, 2649]                             [648, 2741]
12                                                                                                            [[495, 2808], [586, 2808], [586, 2860], [495, 2860]]                        00    0.971159                             [495, 2808]                             [586, 2860]
13                                                                                                            [[496, 2853], [544, 2853], [544, 2898], [496, 2898]]                         0    0.999956                             [496, 2853]                             [544, 2898]
14                                                                                                            [[452, 2938], [624, 2938], [624, 2998], [452, 2998]]                   Catalog    0.992664                             [452, 2938]                             [624, 2998]
15  [[890.9666700642312, 449.0766894303488], [993.608008072376, 469.6904049455773], [980.0333299357688, 529.9233105696512], [877.391991927624, 510.3095950544227]]                       Boy    0.999974  [890.9666700642312, 449.0766894303488]  [980.0333299357688, 529.9233105696512]

Processing time for image 7: 0.582 seconds
