Result 4 - screen1-recommended.png

                                                                                                                                                          Bounding Box            Text  Confidence                    Bounding Box Top Left                Bounding Box Bottom Right
0                                                                                                                           [[22, 17], [130, 17], [130, 69], [22, 69]]            4.15    0.993196                                 [22, 17]                                [130, 69]
1                                                                                                                     [[161, 490], [764, 490], [764, 594], [161, 594]]     Summer 2022    0.693709                               [161, 490]                               [764, 594]
2                                                                                                                       [[47, 830], [698, 830], [698, 933], [47, 933]]     Recommended    0.999660                                [47, 830]                               [698, 933]
3                                                                                                                 [[1092, 858], [1320, 858], [1320, 915], [1092, 915]]        13 Items    0.991236                              [1092, 858]                              [1320, 915]
4                                                                                                               [[819, 1904], [1055, 1904], [1055, 1971], [819, 1971]]      'cint grea    0.004927                              [819, 1904]                             [1055, 1971]
5                                                                                                                   [[78, 2531], [427, 2531], [427, 2608], [78, 2608]]  Explorinc Life    0.715024                               [78, 2531]                              [427, 2608]
6                                                                                                                   [[80, 2627], [343, 2627], [343, 2696], [80, 2696]]        S 109.00    0.832885                               [80, 2627]                              [343, 2696]
7                                                                                                                 [[485, 2842], [596, 2842], [596, 2951], [485, 2951]]              98    0.387550                              [485, 2842]                              [596, 2951]
8                                                                                                                 [[116, 2942], [246, 2942], [246, 2993], [116, 2993]]            Home    0.999982                              [116, 2942]                              [246, 2993]
9  [[458.7840534480019, 1969.0033317152604], [514.3105291574424, 1978.3923184843238], [458.2159465519981, 2306.9966682847394], [402.6894708425577, 2297.607681515676]]               1    0.089269  [458.7840534480019, 1969.0033317152604]  [458.2159465519981, 2306.9966682847394]

Processing time for image 4: 0.535 seconds
